`ɑ l b ɑ m , `ɑ ɫ b ɑ , `a w b ə , `a w b ə , `o b ə , o b $aube. 
i `ɑ m , ʝ `ɑ m , d͡ʒ `a , ʒ `a , ʒ `a , ʒ a $ja 
ɡ r `ɑː t̪ u m , ɡ r `ɑ t̪ o , ɡ r `e θ , ɡ r `e , ɡ r `e , ɡ ʁ e $gré.
t̪ `ɑː l e m , t̪ `ɑ l ɛ , t̪ `e l , t̪ `e l , t̪ `e l , t̪ ɛ l $tel.
m `ɑ r e , m `ɑ r e , m `e r , m `e r , m `ɛ r , m ɛ ʁ $mer. 
m `ɑ t̪ r e m , m `ɑ t̪ r ɛ , m `e r ə , m `e r ə , m `e r ə , m ɛ ʁ $mère.
m `ɑ n̪ u m , m `ɑ n̪ o , m `ã j̃ n̪ , m `ɛ̃ j̃ n̪ , m `ɛ̃ n̪ , m ɛ̃ $main.
`ɑ m ɑ t̪ , `ɑ m ɑ t̪ , `ã j̃ m ə θ , `ɛ̃ j̃ m ə , `ɛ m ə , ɛ m $aime. Verb conjugation. 
p `ɑː l oː s , p `ɑ l o s , p `i ɛ̯ w s , p j `ø s , p j `ø s , p j ø $pieux.
p 'i e t̪ `ɑː t̪ e m , p 'i ɛ t̪ `ɑ t̪ ɛ , p 'i t̪ `i ɛ̯ θ , p 'i t̪ j `e , p 'i t̪ j `e , p i t̪ j e $pitié. 
m 'ɑ n̪ d̪ uː k `ɑː r e , m 'ɑ n̪ d̪ u k `ɑ r ɛ , m 'ã n̪ d͡ʒ `i ɛ̯ r , m 'ã n̪ ʒ j `e r , m 'ã ʒ `e , m ɑ̃ ʒ e $manger. Gaulish.
k `ɑː r u m , k `ɑ r o , t͡ʃ `i ɛ̯ r , ʃ j `e r , ʃ `ɛ r , ʃ ɛ ʁ $cher.
k `ɑː r ɑ m , k `ɑ r ɑ , t͡ʃ `i ɛ̯ r ə , ʃ j `e r ə , ʃ `ɛ r ə , ʃ ɛ ʁ $chère.
k `ɑ n̪ e m , k `ɑ n̪ ɛ , t͡ʃ `i ɛ̯ n̪ , ʃ j `ẽ n̪ , ʃ j `ɛ̃ n̪ , ʃ j ɛ̃ $chien.
i `ɑ k e t̪ , ʝ `ɑ c e t̪ , d͡ʒ `i t͡s t̪ , ʒ `iː t̪ , ʒ `iː t̪ , ʒ i $git. Verb conjugation. 
`ɑ l l i u m , `ɑ l l ʝ o , `a ʎ , `a ʎ , `a ʎ , a j $ail.
p `ɑ l e ɑ m , p `ɑ l ʝ ɑ , p `a ʎ ə , p `a ʎ ə , p `a ʎ ə , p ɑ j $paille.
`ɑ l l i oː s , `ɑ l l ʝ o , `a ʎ t͡s , `a w s , `o z , o $aulx.
m 'o n̪ t̪ `ɑː n̪ e ɑ m , m 'ɔ n̪ t̪ `ɑ n̪ ʝ ɑ , m 'o n̪ t̪ `ã ɲ ə , m 'ũ n̪ t̪ `ã ɲ ə , m 'ũ t̪ `ã ɲ ə , m ɔ̃ t̪ a ɲ $montagne.
s `ɑ n̪ k t̪ u m , s `ɑ ŋ t̪ o , s `ã j̃ n̪ t̪ , s `ẽ j̃ n̪ t̪ , s `ɛ̃ t̪ , s ɛ̃ $saint. 
m `ɑ ɡ i s , m `ɑ ʝ e s , m `a j s , m ɛ s , m ɛ s , m ɛ $mais 
h `ɑ b e o , `ɑ ʝ ɔ , `a j , `e , `e , e $ai. Verb conjugation. 
'ɑ b b `ɑː t̪ e m , 'ɑ b b `ɑ t̪ ɛ , 'a b `eː θ , 'a b `e , 'a b `e , a b e $abbé.
m 'ɑ r `iː t̪ u m , m 'ɑ r `i t̪ o , m 'a r `i θ , m 'a r `i , m 'a r `i , m a ʁ i $mari
... , b 'ɑ s t̪ `i r e , b 'a s t̪ `i r , b 'aː t̪ `i r , b 'aː t̪ `i r , b ɑ t̪ i ʁ $bâtir. Verb. Frankish.
s 'ɑː n̪ i t̪ `ɑː t̪ e m , s 'ɑ n̪ e t̪ `ɑ t̪ ɛ , s 'ã n̪ t̪ `e θ , s 'ã n̪ t̪ `e , s 'ã t̪ `e , s ɑ̃ t̪ e $santé. 
'ɑ n̪ n̪ `ɑː t̪ ɑ m , 'ɑ n̪ n̪ `ɑ t̪ ɑ , 'ã n̪ `eː ð ə , 'ã n̪ `e ə , 'ã n̪ `e , a n̪ e $année.
s 'ɑ l t̪ `ɑː r e , s 'ɑ l t̪ `ɑ r ɛ , s 'a w t̪ `e r , s 'a w t̪ `e r , s 'o t̪ `e , s o t̪ e $sauter. Verb. 
k 'ɑ b `ɑ l l u m , k 'ɑ β `ɑ l l o , t͡ʃ 'ə v `a l , ʃ 'ə v `a l , ʃ 'ə v `a l , ʃ ə v a l $cheval. Gaulish.
k 'ɑ l `eː r e , k 'ɑ l `e r ɛ , t͡ʃ 'a l `e j r , ʃ 'a l w `ɛ r , ʃ 'a l w `ɛ r , ʃ a l w a ʁ $chaloir. Verb.
